precaution,limit_high,name,limit_low,functionals
"기관지 천식, 해소 기침이나 기도에 심한 염증이 있는 사람은 섭취에 주의",1350.01,솔잎증류농축액,1349.99,혈당 유지
"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 -특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의 -이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",600,수국잎열수추출물,300,"피부건강 유지, 피부 보습"
,10.01,스쿠알렌,9.99,항산화
"· 영?유아, 어린이, 임산부 및 수유부는 섭취에 주의· 특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의· 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",150,스페인감초추출물,150,위 건강
,150,스피루리나,8,"피부건강 유지, 항산화, 혈중 콜레스테롤 개선"
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·의약품(혈당강하제) 복용 시 섭취에 주의",300,시서스추출물,299.99,체지방 감소
,99999,식물성유지 디글리세라이드,0,"혈중 중성지방 감소, 체지방 감소"
식물스타놀 에스테르는 지용성 비타민의 흡수를 저해할 수 있습니다,3.4,식물스타놀에스테르,2.5,혈중 콜레스테롤 개선
베타-카로틴(β-carotene)의 흡수를 저해할 수 있음,3,식물스테롤/식물스테롤에스테르,0.8,혈중 콜레스테롤 개선
반드시 충분한 물과 함께 섭취할 것 (액상제외),999999999,식이섬유,5000,식이섬유 보충
|임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.,34,쌀겨추출물,10,피부 보습
" 성인남성만 섭취할 것 | 수술 전후, 출혈성 질환이 있거나 항응고제 등 복용 시 전문가와 상담할 것 (다) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 (라) 메스꺼움 등 소화계통의 불편함과 설사를 유발할 수 있으니 식사 후 섭취할 것 (마) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",115,쏘팔메토 열매 추출물,70,전립선 건강
"|메스꺼움이나 설사 등 소화계통의 불편함을 유발할 수 있음|어린이, 임산부, 수유기 여성은 섭취에 주의할 것",320.1,쏘팔메토열매추출물,319.9,전립선 건강
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·국화과에 알레르기를 나타내는 사람은 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",2,쑥부쟁이추출분말,2,코 상태 개선
"요오드 함량이 높은 식품(해조류, 어패류 등) 섭취 시 주의 갑상선질환 등을 보유하고 있는 사람은 섭취 시 주의 특정질화, 특이체질, 알러지체질, 임산부 와 12세이하의 어린이는 섭취시 주위",360,씨폴리놀 감태주정추출물,72,혈중 콜레스테롤 개선
반드시 충분한 물과 함께 섭취할 것 (액상제외),20.01,아라비아검(아카시아검),19.99,배변활동
1. 혈액응고와 관련된 질병이 있거나 혈액응고저해제를 섭취하는 경우는 반드시 의사나 약사와 상담 후에 섭취하여야 합니다.2. 아마인의 섭취는 다른 약물의 흡수를 방해할 수 있으므로 약제를 섭취하는 경우에는 의사나 약사와 상담 후 섭취하여야 합니다.,50,아마인,50,혈중 콜레스테롤 개선
"임산부, 수유부, 어린이는 섭취에 주의",180,아쉬아간다 추출물,125,긴장완화
,12,아연,2.55,"정상적인 면역기능에 필요, 정상적인 세포분열에 필요"
담관에 이상이 있는 분은 의사와 상의하신 후 섭취하시기 바랍니다. - 알레르기 반응이 나타나는 경우에는 섭취를 중단하시기 바랍니다.,1.92,아티초크추출물,1.92,지방 소화
" 어린이, 임산부 및 수유부는 섭취를 피할 것 (나) 위·신장·간질환이 있거나 의약품 복용 시 전문가와 상담할 것 (다) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",30,알로에 전잎,20,배변활동
,420,알로에겔,100,"피부건강 유지, 장 건강, 면역력 증진"
"|임산부, 수유부는 섭취 시 전문가와 상담하십시오.|의사의 처방이나 치료를 받고 계신 분은 전문가와 상담하십시오.|어린이나 청소년은 섭취를 삼가 하십시오.",1680,알로에복합추출물,420,혈중 콜레스테롤 개선
"1. 임산부, 수유부는 섭취시 전문가와 상담하십시오 2. 의사의 처방이나 치료를 받고 계신 분은 전문가와 상담하십시오",4200,알로에추출물,210,혈중 콜레스테롤 개선
소맥알레르기 체질인 사람은 섭취에 주의하여야 합니다.,1500,알부민,1200,혈당상승 억제
,2.7,알콕시글리세롤 함유 상어간유,0.6,면역력 증진
,2,"엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)",1.5,관절 및 연골 건강
"임산부, 수유부는 섭취를 삼가시기 바랍니다.|어린이, 노인, 신부전이 있는 사람, 혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.",2,연어 펩타이드,2,높은 혈압 감소
"· 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 · 질환이 있거나 의약품(면역억제제 등) 복용 시 전문가와 상담할 것 · 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",500,연어이리추출물(PRP연어핵산),500,관절 및 연골 건강
,150,엽록소함유식물,8,"피부건강 유지, 항산화"
,0.4,엽산,0.12,"세포와 혈액생성에 필요, 태아 신경관의 정상 발달에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
,42,영지버섯자실체추출물,24,혈행개선
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·특정질환(알레르기 체질, 간·신장 질환 환자 등)이 있는 분은 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",2,오가피열매추출물,2,혈압조절
,2,오메가-3 지방산 함유 유지,0.89,기억력 개선
"· 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 · 수술 전?후 섭취에 주의 · 식사조절, 운동을 병행하는 것이 바람직함",1582,오미자추출물,1582,"근력 개선, 갱년기 여성의 건강"
반드시 충분한 물과 함께 섭취할 것 (액상제외),10.1,옥수수겨식이섬유,9.99,"혈중 콜레스테롤 개선, 혈당상승 억제"
,60,옥수수배아추출물,40,피부 보습
,40,옥타코사놀 함유 유지,7,지구력 증진
혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.,1000,올리브잎주정추출물,500,혈압 유지
혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.,1000,올리브잎추출물,500,혈압 유지
,1,옻나무추출분말,1,갱년기 남성의 건강
임산부 및 수유 여성은 섭취에 주의,300,와일드망고 종자추출물,300,체지방 감소
임산부 및 수유 여성은 섭취에 주의,300,와일드망고 종자추출물(IGOB131),300,체지방 감소
,0.15,요오드,0.045,"갑상선 호르몬, 에너지 이용, 신경발달"
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ·과다섭취시 미약한 설사, 구토, 배변량 증가, 배변빈도 증가, 복부팽만, 두통 등의 부작용을 일으킬 수 있음 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",1000,우뭇가사리추출물,1000,체지방 감소
"· 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 · 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",1000,우슬등복합물(HL-Joint100),1000,관절 및 연골 건강
임신 중이거나 수유 중인 분 또는 콜레스테롤 저하 약물을 복용 중인 분은 의사의 상담 하에 섭취하는 것이 좋습니다.,600,유니벡스 대나무잎추출물,300,"혈중 콜레스테롤 개선, 혈중 중성지질 개선, 항산화"
" 임산부, 수유여성 및 어린이는 섭취에 주의 (나) 우유 및 유제품에 대하여 알레르기를 나타내는 사람은 섭취에 주의",4.1,유단백가수분해물,2.7,긴장완화
,150,유단백가수분해물(락티움),0,"긴장완화, 수면의 질 개선"
,40,유단백추출물,40,뼈 건강
임산부?수유부 섭취에 주의,100,유비퀴놀(ubiquinol),10,항산화
"1) 요오드 함량이 높은 식품(해조류, 어패류 등) 섭취 시 주의 (2) 갑상선질환 등을 보유하고 있는 사람은 섭취 시 주의 (3) 임산부 및 수유부는 섭취 시 주의",1500.01,유산균발효다시마추출물,1499.99,간 건강
,1.5,유산균발효마늘추출물,1.5,간 건강
"임산부, 수유부, 어린이 및 수술전후 환자는 섭취에 주의 의약품(항응고제) 복용 시 섭취에 주의",36,은행잎추출물,28,"기억력 개선, 혈행개선"
반드시 충분한 물과 함께 섭취할 것 (액상제외),20,이눌린,6.4,"혈중 콜레스테롤 개선, 혈당상승 억제, 배변활동"
과량으로 섭취 시에는 설사를 유발할 수 있습니다.,12,이소말토올리고당,8,"장내 유익균 증식 및 유해균 억제, 배변활동"
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",250,인동덩굴꽃봉오리추출물(그린세라-F),250,위 건강
"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",80,인삼,3,"뼈 건강, 면역력 증진, 피로개선"
"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",960.01,인삼가수분해 농축액,959.99,혈당 조절
,5,인삼가시오갈피 등 혼합추출물,0,기억력 개선
"·특이체질 또는 알레르기 체질인 경우에는 성분을 확인한 후 섭취 ·의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",6,인삼다당체추출물,6,면역력 증진
"?영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ?특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ?이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 ?의약품(혈압강하제, 부정맥치료제, 고지혈증치료제, 항응고제 등)을 복용하시는 분은 섭취 전 의사와 상담 ?카페인을 함유한 식품의 섭취에 주의할 것",900,자몽추출물등 복합물(Sinetrol),900,체지방 감소
과량으로 섭취 시 설사를 유발할 수도 있습니다.,7.5,자일로올리고당,0.7,"장내 유익균 증식 및 유해균 억제, 배변활동"
과량으로 섭취 시 설사를 유발할 수도 있습니다.,7.5,자일로올리고당분말,0.7,"장내 유익균 증식 및 유해균 억제, 배변활동"
당류와 전분류의 함량이 높은 간식을 자주 섭취하면 충치발생위험이 높아집니다.|자일리톨을 일시에 40g 이상의 과량을 섭취할 경우에는 복부팽만감 등의 불쾌감을 느낄 수 있습니다.,25000,자일리톨,10000,"충치발생위험감소, 플라그 감소, 산생성 억제"
"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 -특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 -이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",700,작약추출물등복합물(HT074),700,위 건강
,1500,잔나비걸상버섯균사체,1500,혈당 조절
"영·유아, 어린이, 임산부, 수유부는 섭취에 주의",3000,저분자콜라겐펩타이드,1000,"피부 보습, 피부건강 유지"
"·영·유아, 어린이, 임산부와 수유부는 섭취에 주의 ·특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",1.65,저분자콜라겐펩타이드NS,1.65,피부건강 유지
"유아, 어린이, 임산부 등 철의 필요량이 증가하는 연령층은 섭취에 주의",24,적포도발효농축액,24,혈중 콜레스테롤 개선
,800,전칠삼추출물 등 복합물,800,관절 및 연골 건강
1 일 바릴티로신 섭취량은 6 mg을 초과하지 않도록 합니다.|의약품(고혈압치료제 등) 복용하시는 분은 전문가와 상담하시기 바랍니다. |이상사례 발생 시 섭취를 중단하고 전문가와 상담하시기 바랍니다.,0.4,정어리펩타이드SP100N,0.25,혈압조절
,2,정제오징어유,0.5,"혈행개선, 혈중 중성지질 개선"
,0,중쇄지방산(MCFA)함유유지,0,체지방 감소
피부에 광과민성 반응이 나타나는 사람은 섭취에 주의,2.8,지각상엽추출혼합물,2.8,혈당 조절
임산부 및 수유부는 섭취 시 주의,1248.01,지방산복합물 FAC(Fatty Acid Complex),1247.99,관절 및 연골 건강
임산부는 섭취 전 의사와 상담이 필요합니다.|과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있습니다.,20,지아잔틴추출물,10,눈 건강
,2,지초추출분말,0,피부 보습
반드시 충분한 물과 함께 섭취할 것 (액상제외),999999999,차전자피식이섬유,3.9,"혈중 콜레스테롤 개선, 배변활동"
"· 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 · 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ?이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",500,차즈기추출물,500,눈 건강
"·소화불량, 속쓰림 등이 나타날 수 있습니다. ·혈액응고방지제 또는 혈당강하제를 복용하시는 분은 의사의 상담 하에 사용하여 주십시오.",800,참당귀 추출분말(Nutragen),800,노인의 인지력 개선
"소화불량, 속쓰림 등이 나타날 수 있습니다.|혈액응고방지제 또는 혈당강하제를 복용하시는 분은 의사의 상담 하에 사용하여 주십시오.",800.1,참당귀뿌리추출물,799.9,노인의 인지력 개선
,150,창녕양파추출액,150,혈중 콜레스테롤 개선
,1.1,천마등복합추출물(HX106),1.1,기억력 개선
특히 6세 이하는 과량섭취하지 않도록 주의,15,철,3.6,"체내 산소운반과 혈액생성에 필요, 에너지 생성에 필요"
"린이, 임신 또는 수유중인 여성은 섭취에 주의",1000,청국장균배양정제물,999.99,면역력 증진
혈전용해제를 복용하시는 분은 의사와 상담하여 주시기 바랍니다.,200.1,초록입홍합추출오일,199.9,관절 및 연골 건강
,3.6,카제인가수분해물,1.8,"높은 혈압 감소, 혈압조절"
"·제안된 일일섭취량 이상 과량 섭취하지 않도록 주의 ·임산부와 수유부, 카페인에 민감한 사람의 경우 섭취에 주의 ·특정 질병이 있는 경우 섭취 전에 의사와 상담",2.8,카카오분말,2.8,혈행개선
,3700,칼륨,1050,체내 물과 전해질 균형에 필요
,800,칼슘,210,"뼈와 치아 형성, 신경과 근육 기능 유지, 혈액응고, 골다공증 발생 위험 감소"
"어린이, 임산부, 수유기 여성은 섭취에 주의하십시오.|과량 섭취 시 복부팽만감을 느낄 수 있습니다.",1000.1,커피만노올리고당분말,999.9,"장내 유익균 증식 및 유해균 억제, 배변활동"
,100,코엔자임Q10,90,"항산화, 높은 혈압 감소"
"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의할 것 -이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 -특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것 -수술 전후 또는 항응고제, 항혈소판제, 비스테로이드계 항염증약 복용자는 섭취 전 전문의와 상담할 것 -천식이 있는 사람은 섭취 전 전문의와 상담할 것",1200,콘드로이친,1200,관절 및 연골 건강
"항응고제 또는 혈압조절제를 복용하시거나 혈압이 낮으신 분은 섭취에 주의 | 임산부, 수유여성, 어린이는 섭취에 주의",500.1,콜레우스포스콜리추출물,499.9,체지방 감소
,3,콩.보리 발효복합물,3,피부 보습
,900.1,콩발효추출물,899.9,"혈당 유지, 혈당상승 억제"
,500,크랜베리추출물,0,요로 건강
,500,크랜베리추출분말,500,요로 건강
"신장에 영향을 미치는 약물을 복용하거나 신장 이상의 위험이 있는 사람은 의사와 상담 후에 섭취하여야 합니다.|어린이, 임산부, 수유부는 섭취를 삼가야 합니다.|카페인은 크레아틴의 기능을 감소시킬 수 있습니다.|크레아틴의 섭취는 탈수를 동반할 수 있으므로 충분한 물과 함께 섭취하여야 합니다.|과다 섭취하지 마십시오.",3,크레아틴,3,운동능력 향상
,9,크롬,0.009,
,150,클로렐라,8,"피부건강 유지, 항산화, 혈중 콜레스테롤 개선, 면역력 증진"
게 또는 새우에 알레르기가 있는 사람은 섭취에 주의(게 또는 새우를 원재료로 사용한 경우에 한함),4.5,키토산/키토올리고당,1.2,"혈중 콜레스테롤 개선, 체지방 감소"
게 또는 새우에 알레르기가 있는 사람은 섭취에 주의(게 또는 새우를 원재료로 사용한 경우에 한함),750,키토올리고당,749.99,혈당 감소
과량 섭취 시 위장장애가 발생할 수 있음,7.5,타가토스,5,혈당 조절
"카페인 함유음료(커피, 홍차, 녹차 등)와의 병용 섭취에 주의 임산부, 수유부, 어린이 및 수술전후 환자는 섭취에 주의",250,테아닌,200,긴장완화
"테아닌은 카페인과 길항작용이 있으므로 섭취시 카페인 함유음료(커피, 홍차, 녹차)의 섭취를 삼가하시기 바랍니다.",210.1,테아닌등복합추출물,209.9,기억력 개선
,15,토마토추출물,5.7,항산화
"임산부, 수유여성 및 어린이는 섭취에 주의",15,토마토추출물,5.69,항산화
일일섭취량 준수하여 섭취,1000,파크랜크랜베리분말,500,요로 건강
"·와파린, 쿠마딘 등 항응고제, 오메프라졸 등의 위산분비 억제제와 함께 섭취하지 마십시오·제안된 섭취량 이상 과잉 복용할 경우 설사가 있을 수 있으므로, 정해진 섭취량을 준수하여 주십시오",1000,파크랜크랜베리추출분말,500,요로 건강
,200,판토텐산,1.5,"지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
"?영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ?이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 ?특정질환(알레르기 체질 등)은 섭취에 주의",800,포도과피 효소발효추출물(KL-GEFE),800,눈 건강
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",600,포도블루베리추출혼합분말,600,기억력 개선
,300,포도씨 효소분해 추출 분말,150,높은 혈압 감소
"위장장애가 발생할 수 있다.|영유아, 임산부는 섭취를 삼가 해야 한다.|식사조절, 운동을 병행하는 것이 체지방 감소에 효과적이다.",200,포도종자추출물,0,항산화
임산부와 수유부는 섭취에 주의 과잉섭취 시 위장장애나 불면증을 유발할 수 있음,300.01,포스파티딜세린,299.99,"노인의 인지력 개선, 피부건강 유지, 피부 보습"
,70,폴리감마글루탐산,60,체내 칼슘흡수 촉진
반드시 충분한 물과 함께 섭취할 것 (액상제외),12,폴리덱스트로스,4.5,배변활동
"(1) 임산부, 수유부, 청소년 및 어린이는 섭취를 피할 것 (2) 의약품 복용(심혈관 등), 혈액응고장애가 있거나 수술예정인 사람은 전문가와 상담할 것 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",20,폴리코사놀-사탕수수 왁스알코올,5,혈중 콜레스테롤 개선
,3600,표고버섯균사체,1800,면역력 증진
,1800.1,표고버섯균사체추출물분말,1799.9,간 건강
"?영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ?특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ?이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",600,풋사과추출물 애플페논(Applephenon),600,체지방 감소
사과에 알레르기가 있으신 분은 섭취 시 주의,600,풋사과추출물애플페논,600,체지방 감소
" 섭취 시 가스참, 트림, 복통, 복부팽만감 등이 발생할 수 있음 (나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",8,프락토올리고당,3,"장내 유익균 증식 및 유해균 억제, 배변활동"
 질환이 있거나 의약품 복용 시 전문가와 상담할 것 (나) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 (다) 어린이가 함부로 섭취하지 않도록 일일섭취량 방법을 지도할 것 (라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,10000000000,프로바이오틱스,100000000,"유산균 증식, 장내 유익균 증식 및 유해균 억제, 배변활동"
,0,프로바이오틱스 ATP,0,피부상태 개선
,3000000000000.00 ,프로바이오틱스(VSL#3),100000000 ,장 건강
알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담,0,프로바이오틱스HY7714,0,"피부 보습, 피부건강 유지"
프로폴리스에 알레르기를 나타내는 사람은 섭취에 주의,17,프로폴리스추출물,16,"항산화, 구강에서의 항균작용"
"- 피니톨은 당뇨병의 치료 및 예방에 사용될 수 없으므로 당뇨병치료가 필요한 경우에는 의사와 상담이 필요함 - 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 - 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 - 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",300,피니톨,300,간 건강
임산부 및 수유여성은 섭취에 주의,400,피브로인추출물BF-7,200,기억력 개선
"·영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ·특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",3270,피쉬 콜라겐펩타이드,3270,"피부건강 유지, 피부 보습"
"장기간(6개월 이상) 섭취 시 주의 어린이, 임산부, 수유부 및 가임여성은 섭취를 삼가  위장장애가 발생할 수 있으므로 주의",1,"피엘에이지(PLAG,1-palmitoyl-2-linoleoyl-3-acetyl-rac-glycerol)",1,면역력 증진
"임산부와 수유부, 어린이는 섭취에 주의하시기 바랍니다.",1350,피카오프레토 분말 등 복합물,1350,코 상태 개선
임산부와 12세 이하의 어린이는 섭취 전 의사와의 상담이 필요합니다.|수술 전후에는 섭취에 주의하시기 바랍니다.,300,피크노제놀-프랑스해안송껍질추출물,50,"활성산소제거, 혈액흐름 개선"
,999999999,필수 지방산,600,필수지방산의 보충
,600,핑거루트추출분말,0,피부건강 유지
,600,핑거루트추출분말(판두라틴),599.99,"피부건강 유지, 체지방 감소, 피부 보습"
"-영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 -특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 -이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",700,해국추출물,700,체지방 감소
해조식 섭취에 주의해야 하는 분은 섭취를 삼가시기 바랍니다.,1.6,해태올리고펩티드(NORI-PEPTIDE),1.6,혈압조절
"· 어린이, 임산부, 수유부는 섭취에 주의 · 유당불내증이 있는 사람은 섭취에 주의",800,허니부쉬추출발효분말,400,피부건강 유지
(1) 임산부 및 수유부는 섭취를 피할 것 (2) 간 질환이 있거나 의약품 복용 시 전문가와 상담할 것 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,2460.1,헛개나무과병추출분말,2459.9,"간 건강, 운동능력 향상, 피로개선"
과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음 β-카로틴의 흡수를 저해할 수 있음,12,헤마토코쿠스 추출물,4,눈 피로 개선
땅콩 알레르기가 있는 사람은 섭취에 주의,400.01,호로파종자 등 추출복합물,399.99,갱년기 남성의 건강
반드시 충분한 물과 함께 섭취할 것 (액상제외),50,호로파종자식이섬유,12,혈당상승 억제
"?땅콩 알레르기가 있는 사람은 섭취에 주의 ?영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 ?특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 ?이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",600,호로파종자추출물,600,갱년기 남성의 건강
"(1) 영유아, 어린이, 임산부와 수유부는 섭취에 주의 (2) 호박씨, 대두에 알레르기를 나타내는 사람은 섭취에 주의 (3) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",1000,호박씨추출물 등 복합물,600,방광의 배뇨기능 개선
"어린이, 임산부 및 수유여성은 섭취에 주의|호프추출물에 알레르기 반응을 나타내는 분은 섭취에 주의|항우울제 또는 호르몬제를 복용하시는 분은 섭취에 주의",2,호프추출물,1,관절 및 연골 건강
"유·소아, 임산부, 수유부는 사용을 삼가는 것이 좋습니다.|혈당조절을 위한 의약품을 복용하시는 분은 의사와 상담하시기 바랍니다.",900,홍경천등복합추출물,900,혈당 조절
,600,홍경천추출물,200,스트레스로 인한 피로 개선에 도움을 줄 수 있음
,8,홍국,4,혈중 콜레스테롤 개선
"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",80,홍삼,2.4,"면역력 증진,피로개선,혈소판 응집억제를 통한 혈액흐름,기억력 개선,항산화,갱년기 여성의 건강"
"홍삼, 사상자, 산수유에 특이한 이상반응을 나타내는 사람은 섭취에 주의|임산부 및 수유기 여성은 섭취에 주의",3000.1,"홍삼,사상자,산수유 복합추출물",2999.9,
이상 사례 발생 시 섭취를 중단하고 전문가와 상담할 것,1100.1,황금등복합물,1099.9,혈압조절
·임산부 및 수유부는 섭취를 피할 것 ·특정원료에 알레르기가 있거나 장기간 또는 의약품 복용시 전문가와 상담할 것 ·이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,1.5,황기추출물 등 복합물(HT042),1.5,어린이 키성장
" 어린이, 임산부, 수유부는 섭취에 주의 (나) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",350,회화나무열매추출물,349.99,갱년기 여성의 건강
,250,효모베타글루칸,250,면역력 증진
,150,흑효모배양액분말,0,뼈 건강
,8,히드록시프로필메틸셀룰로오스,4,혈당상승 억제
"어린이, 임산부 및 수유부는 섭취를 피할 것|이상사례 발생시 섭취를 중단하고 전문가와 상담할 것",2079,히비스커스등복합추출물,2079,체지방 감소
,240,히알루론산,120,"피부건강 유지, 피부 보습"
,,히프로멜로오스프탈레이트,,
"· 어린이, 임산부, 수유부는 섭취에 주의 · 유당불내증이 있는 사람은 섭취에 주의",800,,400,피부건강 유지
